Name: OUT01_MMXU1PPVPhsABIMag | KeyTag: 460001,9480008
Name: OUT01_MMXU1PPVPhsBCIMag | KeyTag: 480001,9500008
Name: OUT01_MMXU1PPVPhsCAIMag | KeyTag: 500001,9520008
Name: OUT01_MMXU1APhsAIMag | KeyTag: 400001,9420008
Name: OUT01_MMXU1APhsBIMag | KeyTag: 420001,9440008
Name: OUT01_MMXU1APhsCIMag | KeyTag: 440001,9460008
Name: OUT01_MMXU1TotWInstMag | KeyTag: 580001,9600008
Name: OUT01_MMXU1TotVArInstMag | KeyTag: 560001,9580008
Name: OUT01_MMXU1TotPFMag | KeyTag: 540001,9560008
Name: OUT01_CSWI2PosStVal | KeyTag: 1960002,10000006
Name: OUT02_MMXU1PPVPhsABIMag | KeyTag: 880001,9680008
Name: OUT02_MMXU1PPVPhsBCIMag | KeyTag: 900001,9700008
Name: OUT02_MMXU1PPVPhsCAIMag | KeyTag: 920001,9720008
Name: OUT02_MMXU1APhsAIMag | KeyTag: 820001,9620008
Name: OUT02_MMXU1APhsBIMag | KeyTag: 840001,9640008
Name: OUT02_MMXU1APhsCIMag | KeyTag: 860001,9660008
Name: OUT02_MMXU1TotWInstMag | KeyTag: 980001,9780008
Name: OUT02_MMXU1TotVArInstMag | KeyTag: 960001,9760008
Name: OUT02_MMXU1TotPFMag | KeyTag: 940001,9740008
Name: OUT02_CSWI2PosStVal | KeyTag: 4200002,12120006
Name: OUT03_MMXU1PPVPhsABIMag | KeyTag: 1280001,9860008
Name: OUT03_MMXU1PPVPhsBCIMag | KeyTag: 1300001,9880008
Name: OUT03_MMXU1PPVPhsCAIMag | KeyTag: 1320001,9900008
Name: OUT03_MMXU1APhsAIMag | KeyTag: 1220001,9800008
Name: OUT03_MMXU1APhsBIMag | KeyTag: 1240001,9820008
Name: OUT03_MMXU1APhsCIMag | KeyTag: 1260001,9840008
Name: OUT03_MMXU1TotWInstMag | KeyTag: 1380001,9960008
Name: OUT03_MMXU1TotVArInstMag | KeyTag: 1360001,9940008
Name: OUT03_MMXU1TotPFMag | KeyTag: 1340001,9920008
Name: OUT03_CSWI2PosStVal | KeyTag: 6440002,14240006
Name: OUT04_MMXU1PPVPhsABIMag | KeyTag: 1680001,10040008
Name: OUT04_MMXU1PPVPhsBCIMag | KeyTag: 1700001,10060008
Name: OUT04_MMXU1PPVPhsCAIMag | KeyTag: 1720001,10080008
Name: OUT04_MMXU1APhsAIMag | KeyTag: 1620001,9980008
Name: OUT04_MMXU1APhsBIMag | KeyTag: 1640001,10000008
Name: OUT04_MMXU1APhsCIMag | KeyTag: 1660001,10020008
Name: OUT04_MMXU1TotWInstMag | KeyTag: 1780001,10140008
Name: OUT04_MMXU1TotVArInstMag | KeyTag: 1760001,10120008
Name: OUT04_MMXU1TotPFMag | KeyTag: 1740001,10100008
Name: OUT04_CSWI2PosStVal | KeyTag: 8700002,16380006
Name: OUT05_MMXU1PPVPhsABIMag | KeyTag: 2080001,10220008
Name: OUT05_MMXU1PPVPhsBCIMag | KeyTag: 2100001,10240008
Name: OUT05_MMXU1PPVPhsCAIMag | KeyTag: 2120001,10260008
Name: OUT05_MMXU1APhsAIMag | KeyTag: 2020001,10160008
Name: OUT05_MMXU1APhsBIMag | KeyTag: 2040001,10180008
Name: OUT05_MMXU1APhsCIMag | KeyTag: 2060001,10200008
Name: OUT05_MMXU1TotWInstMag | KeyTag: 2180001,10320008
Name: OUT05_MMXU1TotVArInstMag | KeyTag: 2160001,10300008
Name: OUT05_MMXU1TotPFMag | KeyTag: 2140001,10280008
Name: OUT05_CSWI2PosStVal | KeyTag: 10940002,500007
Name: OUT06_MMXU1PPVPhsABIMag | KeyTag: 2480001,10400008
Name: OUT06_MMXU1PPVPhsBCIMag | KeyTag: 2500001,10420008
Name: OUT06_MMXU1PPVPhsCAIMag | KeyTag: 2520001,10440008
Name: OUT06_MMXU1APhsAIMag | KeyTag: 2420001,10340008
Name: OUT06_MMXU1APhsBIMag | KeyTag: 2440001,10360008
Name: OUT06_MMXU1APhsCIMag | KeyTag: 2460001,10380008
Name: OUT06_MMXU1TotWInstMag | KeyTag: 2580001,10500008
Name: OUT06_MMXU1TotVArInstMag | KeyTag: 2560001,10480008
Name: OUT06_MMXU1TotPFMag | KeyTag: 2540001,10460008
Name: OUT06_CSWI2PosStVal | KeyTag: 13180002,2620007
Name: OUT07_MMXU1PPVPhsABIMag | KeyTag: 2880001,10580008
Name: OUT07_MMXU1PPVPhsBCIMag | KeyTag: 2900001,10600008
Name: OUT07_MMXU1PPVPhsCAIMag | KeyTag: 2920001,10620008
Name: OUT07_MMXU1APhsAIMag | KeyTag: 2820001,10520008
Name: OUT07_MMXU1APhsBIMag | KeyTag: 2840001,10540008
Name: OUT07_MMXU1APhsCIMag | KeyTag: 2860001,10560008
Name: OUT07_MMXU1TotWInstMag | KeyTag: 2980001,10680008
Name: OUT07_MMXU1TotVArInstMag | KeyTag: 2960001,10660008
Name: OUT07_MMXU1TotPFMag | KeyTag: 2940001,10640008
Name: OUT07_CSWI2PosStVal | KeyTag: 15440002,4740007
Name: OUT08_MMXU1PPVPhsABIMag | KeyTag: 3280001,10760008
Name: OUT08_MMXU1PPVPhsBCIMag | KeyTag: 3300001,10780008
Name: OUT08_MMXU1PPVPhsCAIMag | KeyTag: 3320001,10800008
Name: OUT08_MMXU1APhsAIMag | KeyTag: 3220001,10700008
Name: OUT08_MMXU1APhsBIMag | KeyTag: 3240001,10720008
Name: OUT08_MMXU1APhsCIMag | KeyTag: 3260001,10740008
Name: OUT08_MMXU1TotWInstMag | KeyTag: 3380001,10860008
Name: OUT08_MMXU1TotVArInstMag | KeyTag: 3360001,10840008
Name: OUT08_MMXU1TotPFMag | KeyTag: 3340001,10820008
Name: OUT08_CSWI2PosStVal | KeyTag: 17680002,6840007
Name: OUT09_MMXU1PPVPhsABIMag | KeyTag: 3680001,10940008
Name: OUT09_MMXU1PPVPhsBCIMag | KeyTag: 3700001,10960008
Name: OUT09_MMXU1PPVPhsCAIMag | KeyTag: 3720001,10980008
Name: OUT09_MMXU1APhsAIMag | KeyTag: 3620001,10880008
Name: OUT09_MMXU1APhsBIMag | KeyTag: 3640001,10900008
Name: OUT09_MMXU1APhsCIMag | KeyTag: 3660001,10920008
Name: OUT09_MMXU1TotWInstMag | KeyTag: 3780001,11040008
Name: OUT09_MMXU1TotVArInstMag | KeyTag: 3760001,11020008
Name: OUT09_MMXU1TotPFMag | KeyTag: 3740001,11000008
Name: OUT09_CSWI2PosStVal | KeyTag: 1920003,8940007
Name: OUT10_MMXU1PPVPhsABIMag | KeyTag: 4080001,11120008
Name: OUT10_MMXU1PPVPhsBCIMag | KeyTag: 4100001,11140008
Name: OUT10_MMXU1PPVPhsCAIMag | KeyTag: 4120001,11160008
Name: OUT10_MMXU1APhsAIMag | KeyTag: 4020001,11060008
Name: OUT10_MMXU1APhsBIMag | KeyTag: 4040001,11080008
Name: OUT10_MMXU1APhsCIMag | KeyTag: 4060001,11100008
Name: OUT10_MMXU1TotWInstMag | KeyTag: 4180001,11220008
Name: OUT10_MMXU1TotVArInstMag | KeyTag: 4160001,11200008
Name: OUT10_MMXU1TotPFMag | KeyTag: 4140001,11180008
Name: OUT10_CSWI2PosStVal | KeyTag: 4160003,11140007
Name: BS01_MMXU1PPVPhsABIMag | KeyTag: 16420000,12180004
