Process Date: 2021-01-01-2021-01-07 | Time: 16:51:56.064621
Process Date: 2021-01-07-2021-01-14 | Time: 16:52:04.535583
Process Date: 2021-01-14-2021-01-21 | Time: 16:52:12.189837
Process Date: 2021-01-21-2021-02-01 | Time: 16:52:19.938828
Process Date: 2021-02-01-2021-02-07 | Time: 16:52:27.567247
Process Date: 2021-02-07-2021-02-14 | Time: 16:52:35.203976
Process Date: 2021-02-14-2021-02-21 | Time: 16:52:42.834197
Process Date: 2021-02-21-2021-03-01 | Time: 16:52:50.550089
Process Date: 2021-03-01-2021-03-07 | Time: 16:52:58.220414
Process Date: 2021-03-07-2021-03-14 | Time: 16:53:05.865864
Process Date: 2021-03-14-2021-03-21 | Time: 16:53:13.573964
Process Date: 2021-03-21-2021-04-01 | Time: 16:53:21.293634
Process Date: 2021-04-01-2021-04-07 | Time: 16:53:28.915421
Process Date: 2021-04-07-2021-04-14 | Time: 16:53:36.549557
Process Date: 2021-04-14-2021-04-21 | Time: 16:53:44.161278
Process Date: 2021-04-21-2021-05-01 | Time: 16:53:51.892953
Process Date: 2021-05-01-2021-05-07 | Time: 16:53:59.948572
Process Date: 2021-05-07-2021-05-14 | Time: 16:54:07.643979
Process Date: 2021-05-14-2021-05-21 | Time: 16:54:15.283680
Process Date: 2021-05-21-2021-06-01 | Time: 16:54:23.005143
Process Date: 2021-06-01-2021-06-07 | Time: 16:54:30.625329
Process Date: 2021-06-07-2021-06-14 | Time: 16:54:38.248346
Process Date: 2021-06-14-2021-06-21 | Time: 16:54:45.868081
Process Date: 2021-06-21-2021-07-01 | Time: 16:54:53.633546
Process Date: 2021-07-01-2021-07-07 | Time: 16:55:01.327429
Process Date: 2021-07-07-2021-07-14 | Time: 16:55:09.012469
Process Date: 2021-07-14-2021-07-21 | Time: 16:55:16.818398
Process Date: 2021-07-21-2021-08-01 | Time: 16:55:24.452905
Process Date: 2021-08-01-2021-08-07 | Time: 16:55:32.084369
Process Date: 2021-08-07-2021-08-14 | Time: 16:55:39.753834
Process Date: 2021-08-14-2021-08-21 | Time: 16:55:47.454337
Process Date: 2021-08-21-2021-09-01 | Time: 16:55:55.094342
 dayMW = -2.54664025 | LightMW = 0.4989600625
Process Date: 2021-09-01-2021-09-07 | Time: 16:56:03.778562
 dayMW = 2.99496025 | LightMW = 0.5062800625
Process Date: 2021-09-07-2021-09-14 | Time: 16:56:13.251345
 dayMW = 1.0090801875 | LightMW = 0.4056
Process Date: 2021-09-14-2021-09-21 | Time: 16:56:23.663524
 dayMW = 0.8816400625 | LightMW = 0.40656003125
Process Date: 2021-09-21-2021-10-01 | Time: 16:56:34.978364
 dayMW = 0.8988000625 | LightMW = 0.41328003125
Process Date: 2021-10-01-2021-10-07 | Time: 16:56:45.924811
Process Date: 2021-10-07-2021-10-14 | Time: 16:56:55.830254
Process Date: 2021-10-14-2021-10-21 | Time: 16:57:05.575914
Process Date: 2021-10-21-2021-11-01 | Time: 16:57:15.257226
Process Date: 2021-11-01-2021-11-07 | Time: 16:57:25.375512
Process Date: 2021-11-07-2021-11-14 | Time: 16:57:35.057539
Process Date: 2021-11-14-2021-11-21 | Time: 16:57:44.791567
Process Date: 2021-11-21-2021-12-01 | Time: 16:57:54.673702
Process Date: 2021-12-01-2021-12-07 | Time: 16:58:04.368840
Process Date: 2021-12-07-2021-12-14 | Time: 16:58:14.077975
Process Date: 2021-12-14-2021-12-21 | Time: 16:58:23.853635
Process Date: 2021-12-21-2022-01-01 | Time: 16:58:33.567322
